epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,elapsed_sec,is_resnet,resnet_input,amp,frozen_backbone
1,1.774703,0.301234,2.0134,0.232763,0.001,144.04,144.04,0,160,0,0
2,1.552727,0.413271,1.615018,0.424203,0.001,198.733,397.466,0,160,0,0
3,1.439394,0.463077,1.663598,0.409715,0.001,194.766,584.299,0,160,0,0
4,1.376186,0.483479,1.505865,0.510017,0.001,188.699,754.794,0,160,0,0
5,1.319664,0.497679,1.451946,0.426235,0.001,178.24,891.201,0,160,0,0
6,1.273729,0.516554,1.374907,0.507633,0.001,171.527,1029.162,0,160,0,0
7,1.237397,0.525345,1.532908,0.489748,0.001,166.604,1166.231,0,160,0,0
8,1.189269,0.541602,1.193239,0.560962,0.001,164.264,1314.113,0,160,0,0
9,1.167044,0.550283,1.481522,0.53674,0.001,161.895,1457.055,0,160,0,0
10,1.134964,0.562854,1.194989,0.571257,0.001,159.338,1593.378,0,160,0,0
11,1.111571,0.570448,1.291561,0.477977,0.001,157.312,1730.437,0,160,0,0
12,1.085492,0.581057,1.266831,0.563334,0.001,155.728,1868.731,0,160,0,0
13,1.0533,0.586755,1.197869,0.54522,0.001,154.28,2005.644,0,160,0,0
14,1.042187,0.586518,1.139136,0.561296,0.001,153.066,2142.922,0,160,0,0
15,1.01993,0.595971,1.151295,0.573407,0.001,152.145,2282.173,0,160,0,0
16,0.995679,0.606273,1.14343,0.589377,0.001,151.311,2420.978,0,160,0,0
17,0.984753,0.611765,1.110235,0.594578,0.001,150.591,2560.044,0,160,0,0
18,0.970334,0.61415,1.227545,0.557677,0.001,149.965,2699.367,0,160,0,0
19,0.948318,0.619713,1.152184,0.594695,0.001,149.391,2838.42,0,160,0,0
20,0.930472,0.627365,1.154401,0.59186,0.001,148.856,2977.119,0,160,0,0
21,0.910872,0.633101,1.196294,0.581343,0.001,148.372,3115.816,0,160,0,0
22,0.89779,0.636499,1.175217,0.582813,0.001,147.945,3254.788,0,160,0,0
23,0.902844,0.637014,1.087508,0.597523,0.001,147.564,3393.967,0,160,0,0
24,0.867722,0.647269,1.341198,0.595819,0.001,147.177,3532.237,0,160,0,0
25,0.86295,0.650318,1.107764,0.605101,0.001,146.798,3669.942,0,160,0,0
