epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,elapsed_sec,is_resnet,resnet_input,amp,frozen_backbone
1,1.785871,0.30548,1.682369,0.330019,0.001,583.036,583.036,1,160,0,1
2,1.670071,0.355301,1.633077,0.381402,0.001,560.471,1120.942,1,160,0,1
3,1.645111,0.363468,1.654898,0.407847,0.001,453.122,1359.365,1,160,0,1
4,1.506682,0.442777,1.413654,0.450606,0.001,768.807,3075.227,1,160,0,0
5,1.266894,0.522323,1.388663,0.480234,0.001,860.755,4303.773,1,160,0,0
6,1.180186,0.550408,1.204318,0.574672,0.001,888.559,5331.356,1,160,0,0
7,1.101487,0.580049,1.218041,0.557601,0.001,852.004,5964.031,1,160,0,0
8,1.068851,0.591853,1.159345,0.587986,0.001,825.103,6600.823,1,160,0,0
9,1.031154,0.603192,1.109919,0.585492,0.001,805.656,7250.902,1,160,0,0
10,0.981352,0.620213,1.132412,0.587172,0.001,792.524,7925.244,1,160,0,0
11,0.942762,0.631783,1.087378,0.612115,0.001,779.944,8579.388,1,160,0,0
12,0.918597,0.639804,1.141097,0.599672,0.001,791.417,9497.003,1,160,0,0
13,0.89639,0.648274,1.074388,0.592784,0.001,808.888,10515.546,1,160,0,0
14,0.849403,0.661964,1.148621,0.638554,0.001,822.095,11509.326,1,160,0,0
15,0.819876,0.674626,1.085015,0.609684,0.001,835.247,12528.705,1,160,0,0
16,0.794402,0.687305,1.143596,0.62548,0.001,860.899,13774.389,1,160,0,0
17,0.766816,0.696895,1.170293,0.634331,0.001,879.519,14951.819,1,160,0,0
18,0.718821,0.716265,1.200054,0.622992,0.001,902.316,16241.692,1,160,0,0
19,0.675022,0.730474,1.278619,0.63387,0.001,906.24,17218.564,1,160,0,0
